ts_code,trade_date,adj_factor
000510.SZ,20250922,10.422
000513.SZ,20250922,9.9864
000514.SZ,20250922,4.4343
000516.SZ,20250922,39.873
000517.SZ,20250922,17.9586
000518.SZ,20250922,8.377
000519.SZ,20250922,7.9996
000520.SZ,20250922,6.855
000521.SZ,20250922,5.8682
000523.SZ,20250922,6.687
000524.SZ,20250922,4.9611
000525.SZ,20250922,8.3784
000526.SZ,20250922,2.471
000528.SZ,20250922,13.1799
000529.SZ,20250922,3.5383
000530.SZ,20250922,10.0754
000531.SZ,20250922,16.2977
000532.SZ,20250922,4.5296
000533.SZ,20250922,2.258
000534.SZ,20250922,4.2831
000536.SZ,20250922,3.673
000537.SZ,20250922,6.9154
000538.SZ,20250922,29.9066
000539.SZ,20250922,18.9022
000541.SZ,20250922,32.9585
000543.SZ,20250922,5.1025
000544.SZ,20250922,4.1036
000545.SZ,20250922,4.56
000546.SZ,20250922,1.847
000547.SZ,20250922,10.683
000548.SZ,20250922,3.6953
000550.SZ,20250922,3.9524
000551.SZ,20250922,9.5905
000552.SZ,20250922,8.1306
000553.SZ,20250922,4.214
000554.SZ,20250922,5.0098
000555.SZ,20250922,3.179
000557.SZ,20250922,7.3975
000558.SZ,20250922,5.957
000559.SZ,20250922,40.6859
000560.SZ,20250922,5.302
000561.SZ,20250922,2.5231
000563.SZ,20250922,18.7367
000564.SZ,20250922,7.182
000565.SZ,20250922,7.6654
000566.SZ,20250922,9.514
000567.SZ,20250922,16.033
000568.SZ,20250922,37.6217
000570.SZ,20250922,4.5871
000571.SZ,20250922,7.613
000572.SZ,20250922,4.656
000573.SZ,20250922,8.5597
000576.SZ,20250922,6.297
000581.SZ,20250922,6.5311
000582.SZ,20250922,5.4824
000586.SZ,20250922,3.698
000589.SZ,20250922,6.9428
000590.SZ,20250922,4.764
000591.SZ,20250922,15.1791
000592.SZ,20250922,6.375
000593.SZ,20250922,5.6
000595.SZ,20250922,4.958
000596.SZ,20250922,3.74
000597.SZ,20250922,5.1027
000598.SZ,20250922,28.0554
000599.SZ,20250922,4.902
000600.SZ,20250922,7.4427
000601.SZ,20250922,10.9488
000603.SZ,20250922,4.3216
000605.SZ,20250922,3.6165
000607.SZ,20250922,3.798
000608.SZ,20250922,11.125
000609.SZ,20250922,6.029
000610.SZ,20250922,3.017
000612.SZ,20250922,10.453
000615.SZ,20250922,9.093
000617.SZ,20250922,7.9348
000619.SZ,20250922,9.341
000620.SZ,20250922,2.284
000623.SZ,20250922,23.9359
000625.SZ,20250922,15.4698
000626.SZ,20250922,10.678
000628.SZ,20250922,3.1954
000629.SZ,20250922,7.789
000630.SZ,20250922,30.0589
000631.SZ,20250922,20.1856
000632.SZ,20250922,7.527
000633.SZ,20250922,7.479
000635.SZ,20250922,4.212
000636.SZ,20250922,17.9842
000637.SZ,20250922,17.272
000638.SZ,20250922,4.42
000639.SZ,20250922,10.906
000650.SZ,20250922,24.4989
000651.SZ,20250922,224.7531
000652.SZ,20250922,28.3008
000655.SZ,20250922,6.1109
000656.SZ,20250922,7.43
000657.SZ,20250922,5.7808
000659.SZ,20250922,16.527
000661.SZ,20250922,8.0015
000663.SZ,20250922,4.049
000665.SZ,20250922,5.766
000668.SZ,20250922,3.672
000669.SZ,20250922,3.651
000670.SZ,20250922,10.09
000672.SZ,20250922,9.2346
000676.SZ,20250922,10.804
000677.SZ,20250922,18.3
000678.SZ,20250922,4.96
000679.SZ,20250922,5.763
000680.SZ,20250922,5.6952
000681.SZ,20250922,5.0726
000682.SZ,20250922,16.2918
000683.SZ,20250922,8.6361
000685.SZ,20250922,17.487
000686.SZ,20250922,14.0029
000688.SZ,20250922,4.9735
000690.SZ,20250922,49.9673
000691.SZ,20250922,3.055
000692.SZ,20250922,12.19
000695.SZ,20250922,2.55
000697.SZ,20250922,3.675
000698.SZ,20250922,3.07
000700.SZ,20250922,17.8319
000701.SZ,20250922,1.726
000702.SZ,20250922,2.553
000703.SZ,20250922,9.886
000705.SZ,20250922,5.6415
000707.SZ,20250922,3.1884
000708.SZ,20250922,4.3373
000709.SZ,20250922,11.4832
000710.SZ,20250922,3.497
000711.SZ,20250922,9.759
000712.SZ,20250922,13.16
000713.SZ,20250922,6.3182
000715.SZ,20250922,6.7567
000716.SZ,20250922,3.8659
000717.SZ,20250922,5.183
000718.SZ,20250922,9.0648
000719.SZ,20250922,5.5835
000720.SZ,20250922,7.26
000721.SZ,20250922,4.69
000722.SZ,20250922,4.0213
000723.SZ,20250922,6.815
000725.SZ,20250922,5.4272
000726.SZ,20250922,8.7989
000727.SZ,20250922,5.635
000728.SZ,20250922,2.9692
000729.SZ,20250922,8.4303
000731.SZ,20250922,12.5261
000733.SZ,20250922,2.3131
000735.SZ,20250922,5.9026
000736.SZ,20250922,3.024
000737.SZ,20250922,3.7123
000738.SZ,20250922,1.8412
000739.SZ,20250922,13.5817
000750.SZ,20250922,13.4866
000751.SZ,20250922,3.4061
000752.SZ,20250922,4.771
000753.SZ,20250922,11.0823
000755.SZ,20250922,2.6964
000756.SZ,20250922,2.14
