rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
661,600967,内蒙一机,制造业-铁路、船舶、航空航天和其他运输设备制造业,75.2994011976048,0.17893430344158795,0.23563737445680583,1.0990042366420856,-0.6211364853543936,-0.43896272287184745,0.01223657375934728,-0.06352201257861634,-0.1417867435158502,-0.06870563217312453,1.4109448470565957,3.0559999999999996,1.9885000000000002,0.04567245512064875,0.35,-0.253143794423182,0.02365659163356265,0.16439795704464988,543676427.75,14.89,2026-03-27
662,000928,中钢国际,建筑业-土木工程建筑业,75.26197604790418,0.17817876934100382,0.5061491357180119,-0.2313145088397833,0.5558036098934946,-0.5174198647663603,0.0181818181818183,-0.06013986013986017,-0.05352112676056342,-0.024814976055724913,0.807965380071212,2.118,2.4825,0.027444381744349333,0.45,-0.13314840499306513,0.015284323923359612,0.08860435339308592,246910219.72800002,6.72,2026-03-27
663,300715,凯伦股份,制造业-非金属矿物制品业,75.22455089820359,0.17789383257257202,0.5544450856495693,-0.24994846946228866,0.4785186747833094,-0.5140054618556364,0.05164670658682646,0.023306627822286874,0.06358819076457234,0.008035586167312259,0.7823943768013981,3.03,3.5159999999999996,0.028355610599639224,0.5,-0.1270903010033444,0.03659328411774419,0.040291672521724387,161999227.078,14.05,2026-03-27
664,001236,弘业期货,金融业-资本市场服务,75.187125748503,0.17683368688693626,0.35397358428535786,0.1886214159331687,-0.1171888365935123,0.0768444433880226,-0.014098690835851024,-0.023928215353938187,-0.04019607843137252,-0.025628265737745903,0.8696783835012966,2.55,2.8289999999999997,0.026389160533555715,0.45,-0.08770257387988556,0.026053427442452662,0.012371897399443,217300007.25,9.79,2026-03-27
665,301175,中科环保,水利、环境和公共设施管理业-公共设施管理业,75.1497005988024,0.17679677038469732,-0.28897826048142283,-0.5801230624443177,-0.25503977734383976,3.2561786377140924,-0.016566265060240837,-0.09431345353675447,-0.13164893617021267,-0.06594192533257037,0.5150847339070138,5.888,10.396999999999998,0.03251446261917378,0.4,-0.1695594125500668,0.018355479934333507,0.10045501153550385,463435771.62799996,6.53,2026-03-27
666,300059,东方财富,金融业-资本市场服务,75.1122754491018,0.17669732600419574,-0.42244781775747303,0.09333624471063168,0.12740095048379083,1.9790813455517928,-0.04948045522018807,-0.08957345971563979,-0.14698046181172286,-0.0791208264423191,0.9388905849295534,1.8159999999999996,1.811,0.022034030162305374,0.45,-0.1289293849658314,0.01832029323377919,0.05309503323451881,3506048214.4299955,19.21,2026-03-27
667,301307,美利信,制造业-金属制品业,75.07485029940119,0.17489180863001175,-0.06829742120902396,0.6599700340953726,-0.2435742088152217,0.5728874023521502,0.005133470225872516,-0.060009601536245794,0.06124661246612462,0.0036779311317005625,0.9663226628685371,9.492,9.699,0.04865400339986496,0.5,-0.13450834879406304,0.05191667657839567,-0.05069308803971029,416278578.062,39.16,2026-03-27
668,300148,天舟文化,文化、体育和娱乐业-新闻和出版业,75.0374251497006,0.17408521182299128,0.2892336750487957,0.013506022692691758,0.4029713099286656,-0.17052683903622046,0.0023041474654377225,-0.04814004376367631,-0.13518886679920483,-0.039204859193815667,0.7969623162454257,3.4539999999999997,4.0425,0.03167441212793934,0.4,-0.14465408805031432,0.0244602721041011,0.13948108583521912,150093794.1,4.35,2026-03-27
669,002783,凯龙股份,制造业-化学原料和化学制品制造业,75.0,0.173376129393731,0.026332673151101983,0.4055308199412963,0.6812559739126427,-0.49860559756374934,0.021929824561403688,-0.08537782139352301,-0.09864603481624756,-0.04415158197015523,0.9272309584065384,3.6379999999999995,3.653000000000001,0.028155927347787556,0.45,-0.16150870406189555,0.019636755067731642,0.13991821914554303,165035251.28300002,9.32,2026-03-27
670,600604,市北高新,房地产业-房地产业,74.9625748502994,0.17216109903245047,-0.059651131298747384,1.4732555133719605,-0.2165914765007554,-0.8598268766059307,-0.03508771929824561,0.061776061776061875,-0.005424954792043413,0.04068117313150443,1.8943056482227858,2.8120000000000003,1.3955,0.04488619601382262,0.4,-0.08771929824561409,0.029270823575078767,-0.06582912978649158,106182255.75,5.5,2026-03-27
