secucode,code,name,industry,market,listing_date
600834.SH,600834,申通地铁,公共交通,主板,1994-02-24
600835.SH,600835,上海机电,运输设备,主板,1994-02-24
600838.SH,600838,上海九百,百货,主板,1994-02-24
600839.SH,600839,四川长虹,家用电器,主板,1994-03-11
600841.SH,600841,动力新科,汽车配件,主板,1994-03-11
600843.SH,600843,上工申贝,纺织机械,主板,1994-03-11
600844.SH,600844,金煤科技,化工原料,主板,1994-03-11
600845.SH,600845,宝信软件,软件服务,主板,1994-03-11
600846.SH,600846,同济科技,建筑工程,主板,1994-03-11
600847.SH,600847,万里股份,电气设备,主板,1994-03-24
600848.SH,600848,上海临港,园区开发,主板,1994-03-24
601607.SH,601607,上海医药,医药商业,主板,1994-03-24
600850.SH,600850,电科数字,软件服务,主板,1994-03-24
600851.SH,600851,海欣股份,化学制药,主板,1994-04-04
600853.SH,600853,龙建股份,建筑工程,主板,1994-04-04
600854.SH,600854,春兰股份,家用电器,主板,1994-04-25
600855.SH,600855,航天长峰,专用机械,主板,1994-04-25
600857.SH,600857,宁波中百,百货,主板,1994-04-25
600858.SH,600858,银座股份,百货,主板,1994-05-06
600859.SH,600859,王府井,百货,主板,1994-05-06
600860.SH,600860,京城股份,专用机械,主板,1994-05-06
600861.SH,600861,北京人力,文教休闲,主板,1994-05-20
600862.SH,600862,中航高科,航空,主板,1994-05-20
600863.SH,600863,华能蒙电,火力发电,主板,1994-05-20
600864.SH,600864,哈投股份,证券,主板,1994-08-09
600865.SH,600865,百大集团,百货,主板,1994-08-09
600866.SH,600866,星湖科技,饲料,主板,1994-08-18
600867.SH,600867,通化东宝,生物制药,主板,1994-08-24
600868.SH,600868,梅雁吉祥,水力发电,主板,1994-09-12
600869.SH,600869,远东股份,电气设备,主板,1995-02-06
600871.SH,600871,石化油服,石油开采,主板,1995-04-11
600872.SH,600872,中炬高新,食品,主板,1995-01-24
600873.SH,600873,梅花生物,食品,主板,1995-02-17
600874.SH,600874,创业环保,环境保护,主板,1995-06-30
600875.SH,600875,东方电气,电气设备,主板,1995-10-10
600876.SH,600876,凯盛新能,玻璃,主板,1995-10-31
600877.SH,600877,电科芯片,半导体,主板,1995-10-13
