rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,avg_amount_20_used,close,trade_date
31,300050,世纪鼎利,信息传输、软件和信息技术服务业-软件和信息技术服务业,97.9973297730307,1.6544028819341579,1.9295045239190134,2.4043435857594533,1.5189960493527592,-0.1485602262924181,0.039453717754172946,0.08044164037854884,0.1285008237232288,0.0880787864347552,1.6983404066048542,9.782,5.5095,0.031289889194004744,0.6,-0.05815831987075937,192515302.9,6.76,2026-03-24
32,301419,阿莱德,制造业-计算机、通信和其他电子设备制造业,97.93057409879839,1.6440208221157258,2.7486745275349733,2.502062869909576,-0.2567466621367238,-0.19743582632208415,0.12172950243037989,0.14483660130718956,0.20966850828729267,0.15522902120386278,1.5592426243459219,9.986,6.572000000000001,0.07335808341944458,0.5,-0.11080121703853951,197114978.4075,43.79,2026-03-24
33,002192,融捷股份,采矿业-有色金属矿采选业,97.86381842456609,1.6256727038309806,2.8313706185783047,1.4064866096730322,0.9832739614533824,-0.36767992206183997,0.12172950243037989,0.1237796373779636,0.1457518663348738,0.13935237556561075,1.2241396240487536,6.734,5.5,0.04837940334553608,0.65,-0.1233243967828418,812808794.3115,64.46,2026-03-24
34,603628,清源股份,制造业-电气机械和器材制造业,97.79706275033378,1.624591279159376,2.0035840738391495,2.261067454708938,1.5701900559373625,-0.3743148349399396,0.10812625923438546,0.11036339165545095,0.12474437627811863,0.10972862090997748,1.6983404066048542,11.035999999999998,6.0280000000000005,0.022024701286848917,0.65,-0.05664194200944028,247714622.3,16.46,2026-03-24
35,300975,商络电子,批发和零售业-批发业,97.73030707610147,1.6236570697095973,2.3880498061143967,2.0760884872441485,-0.19798088334511338,1.2600746808121608,0.0868632707774799,0.15941289865051597,0.29108280254777075,0.15522902120386278,1.3720400909231096,13.436000000000002,10.379,0.06241112087127316,0.6,-0.1182108626198084,877385510.5764999,19.77,2026-03-24
36,300668,杰恩设计,租赁和商务服务业-商务服务业,97.66355140186917,1.6233663293535796,2.9146074828035293,1.4422646124918002,0.6937996881271788,-0.27868503010812085,0.12172950243037989,0.15941289865051597,0.3250266273401333,0.15522902120386278,1.4393860606463191,6.272,4.750999999999999,0.037704786093876355,0.55,-0.07977941176470582,135068040.162,34.88,2026-03-24
37,603421,鼎信通讯,制造业-仪器仪表制造业,97.59679572763686,1.6058840554502087,2.1693314382210813,2.333188731538145,0.11055043813558163,0.8849613976674898,0.07499999999999996,0.06120434353405724,0.3250266273401333,0.15522902120386278,1.4153602952359117,9.818,7.400499999999999,0.05306369116609591,0.6,-0.07403751233958533,469622381.55,10.75,2026-03-24
38,002460,赣锋锂业,制造业-有色金属冶炼和压延加工业,97.53004005340455,1.6051742832352045,1.9680512603223392,1.6341381095380743,1.4317769177144632,0.8204257878590508,0.03705926481620403,-0.014963659683625452,-0.030982756203560835,0.0060622821253648596,1.1886538120746029,4.741999999999999,3.904,0.029466236383436182,0.55,-0.1321477428180574,3258732529.12,69.57,2026-03-24
39,300751,迈为股份,制造业-专用设备制造业,97.46328437917224,1.5979078577604262,2.162563212824657,2.093131227428703,-0.05529472576130423,1.471058072837656,0.10168539325842696,0.12917466410748557,0.07002546380501995,0.10223031611133582,1.5507114024378206,7.543999999999999,4.978,0.044699323015390466,0.5,-0.15294198279702542,2596141346.0745,294.14,2026-03-24
40,300782,卓胜微,制造业-计算机、通信和其他电子设备制造业,97.39652870493993,1.5943217271133758,2.272193058637358,2.411131736520556,0.34246828316884137,0.09445275263016711,0.12157598499061906,0.06559714795008897,0.18298153034300801,0.09116795249336795,1.6983404066048542,7.0600000000000005,3.7694999999999994,0.05274348609456117,0.55,-0.09319248826291082,1434324232.2655,89.0,2026-03-24
41,300763,锦浪科技,制造业-电气机械和器材制造业,97.32977303070761,1.5746070107760481,2.342575339689434,1.6504793750414022,0.05500598375374083,1.4263722292611722,0.12172950243037989,0.08782532410566324,0.3250266273401333,0.13131231214488093,1.3829903559010523,10.732,8.619000000000002,0.055919721722194005,0.6,-0.08016638305917945,2783511266.619,111.02,2026-03-24
42,300345,华民股份,制造业-电气机械和器材制造业,97.2630173564753,1.55555742079019,2.3009529109892575,2.6113701008823136,-0.619151605111928,0.7077603479752956,0.1165413533834585,0.15941289865051597,0.1264222503160557,0.14077203764163615,1.6983404066048542,14.006399999999989,13.891,0.07543495985534085,0.5,-0.10750000000000004,541245770.08,8.91,2026-03-24
