strategy,signal_date,rank,code,ts_code,name,industry,entry_close,exit_date,exit_price,exit_reason,hold_days,ret_pct,win
short,20260325,2,600666,600666.SH,奥瑞德,制造业-非金属矿物制品业,5.28,20260327,6.08,limit_up,2,15.15,1
short,20260325,3,603538,603538.SH,美诺华,制造业-医药制造业,32.38,20260326,35.62,limit_up,1,10.01,1
short,20260325,4,601218,601218.SH,吉鑫科技,制造业-金属制品业,7.69,20260326,7.3,retracement,1,-5.07,0
short,20260325,5,002902,002902.SZ,铭普光磁,制造业-计算机、通信和其他电子设备制造业,25.95,20260326,28.55,limit_up,1,10.02,1
short,20260326,1,002733,002733.SZ,雄韬股份,制造业-电气机械和器材制造业,26.7,20260331,24.52,stop_loss,3,-8.16,0
short,20260326,2,002738,002738.SZ,中矿资源,制造业-有色金属冶炼和压延加工业,68.22,20260507,88.0,retracement,26,28.99,1
short,20260326,3,002705,002705.SZ,新宝股份,制造业-电气机械和器材制造业,14.77,20260415,17.34,limit_up,13,17.4,1
short,20260326,4,002709,002709.SZ,天赐材料,制造业-计算机、通信和其他电子设备制造业,44.49,20260423,49.41,retracement,19,11.06,1
short,20260326,5,002729,002729.SZ,好利科技,制造业-计算机、通信和其他电子设备制造业,19.85,20260421,19.15,retracement,17,-3.53,0
short,20260327,1,300342,300342.SZ,天银机电,制造业-通用设备制造业,50.0,20260331,51.08,retracement,2,2.16,1
short,20260327,2,600666,600666.SH,奥瑞德,制造业-非金属矿物制品业,6.08,20260331,5.7,retracement,2,-6.25,0
short,20260327,3,603906,603906.SH,龙蟠科技,制造业-计算机、通信和其他电子设备制造业,22.41,20260416,25.05,limit_up,13,11.78,1
short,20260327,4,603026,603026.SH,石大胜华,制造业-化学原料和化学制品制造业,93.85,20260331,86.65,retracement,2,-7.67,0
short,20260327,5,300497,300497.SZ,富祥药业,制造业-医药制造业,19.09,20260331,18.15,retracement,2,-4.92,0
short,20260423,1,300776,300776.SZ,帝尔激光,制造业-专用设备制造业,114.05,20260430,104.6,stop_loss,5,-8.29,0
short,20260423,2,603278,603278.SH,大业股份,制造业-金属制品业,12.79,20260424,12.45,retracement,1,-2.66,0
short,20260423,3,603139,603139.SH,康惠股份,制造业-医药制造业,35.48,20260429,36.78,limit_up,4,3.66,1
short,20260423,4,300540,300540.SZ,蜀道装备,制造业-通用设备制造业,30.15,20260428,36.12,limit_up,3,19.8,1
short,20260423,5,600961,600961.SH,株冶集团,制造业-有色金属冶炼和压延加工业,28.19,20260428,27.39,retracement,3,-2.84,0
short,20260427,1,002176,002176.SZ,江特电机,制造业-有色金属冶炼和压延加工业,14.12,20260429,16.09,limit_up,2,13.95,1
short,20260427,2,300721,300721.SZ,怡达股份,制造业-化学原料和化学制品制造业,22.04,20260430,20.0,stop_loss,3,-9.26,0
short,20260427,3,300434,300434.SZ,金石亚药,制造业-医药制造业,11.54,20260519,11.22,expired,13,-2.77,0
short,20260427,4,600338,600338.SH,西藏珠峰,采矿业-有色金属矿采选业,24.83,20260429,27.61,limit_up,2,11.2,1
