ts_code,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,total_mv,circ_mv
600776.SH,20250926,7.2954,0.85,81.2246,4.4544,1580048.0805,1202648.0805
600231.SH,20250926,1.6007,0.57,,1.1473,573287.6403,566658.6603
301102.SZ,20250926,2.6878,0.64,81.7922,1.5017,458780.0,114695.0
600155.SH,20250926,1.0172,0.77,172.884,0.8103,1609245.3808,1609245.3808
600110.SH,20250926,5.2465,0.76,,1.9965,1124397.2439,1124397.2439
300266.SZ,20250926,2.2815,0.6,,72.3226,407097.5163,406838.4507
000705.SZ,20250926,12.1451,0.93,72.2177,1.7038,342810.4914,289291.7305
603439.SH,20250926,3.0358,0.9,21.5974,3.5035,518399.8032,510857.8732
300204.SZ,20250926,8.3242,1.03,,15.4513,1618215.6438,1536561.6649
300328.SZ,20250926,12.143,1.09,,10.8422,1165435.0368,1158587.0318
688151.SH,20250926,1.902,0.86,451841.6461,1.6703,699679.5,699679.5
603768.SH,20250926,2.5086,0.74,296.4793,1.2189,292209.7924,292209.7924
002155.SZ,20250926,3.2362,0.61,31.47,4.5931,3348761.7702,3348459.4808
002083.SZ,20250926,2.2453,1.28,12.289,1.0115,457226.6428,457075.2223
301311.SZ,20250926,4.1834,1.26,490.228,2.5325,457440.0,166283.9515
600335.SH,20250926,2.7756,0.64,25.1455,0.7834,897473.2152,897473.2152
301293.SZ,20250926,4.232,0.74,109.0353,5.0411,1178657.5396,920931.2496
300537.SZ,20250926,7.6132,0.77,,5.4108,488345.3244,338223.7242
300658.SZ,20250926,11.3896,1.57,108.2606,2.0465,273864.8584,185598.0335
002733.SZ,20250926,6.6206,0.71,68.6109,2.8965,791482.7208,759857.2835
688071.SH,20250926,9.1209,1.53,,3.3691,364511.0235,364511.0235
601665.SH,20250926,1.674,0.6,6.7113,0.7571,3606151.7197,3606151.7197
300523.SZ,20250926,2.9277,0.76,,4.4897,504358.3992,503753.1413
603197.SH,20250926,5.2277,0.67,33.3391,2.9569,963438.6972,963438.6972
000977.SZ,20250926,17.586,1.63,42.5039,5.1883,10597900.7433,10586059.4609
300795.SZ,20250926,1.6177,0.75,33.1579,7.9777,431004.9605,249848.4184
600196.SH,20250926,2.8398,1.03,24.0639,1.6784,7813676.205,6198698.302
002329.SZ,20250926,2.423,0.68,,3.1443,294671.0107,230237.6791
600757.SH,20250926,3.3038,1.44,9.4353,1.0667,1036457.3331,1036326.526
301598.SZ,20250926,6.1551,0.68,35.455,4.1982,385776.8107,96444.2043
002949.SZ,20250926,8.1953,0.46,31.6394,2.2712,319745.7138,247718.185
601816.SH,20250926,0.5084,0.82,19.9892,1.2579,25441353.2724,25441353.2724
688329.SH,20250926,3.6009,0.62,,2.1033,160653.2,160653.2
603050.SH,20250926,4.439,0.74,36.3736,4.0351,715488.2484,715488.2484
603311.SH,20250926,3.232,1.26,29.7395,1.9576,266548.8149,266548.8149
603355.SH,20250926,2.1667,0.92,12.2504,2.4622,1293201.7296,1293006.7849
000615.SZ,20250926,4.1339,1.49,,,248731.3884,248575.0936
002420.SZ,20250926,7.846,0.55,56.0204,5.4095,329032.0,319647.48
300154.SZ,20250926,3.1655,0.73,26.8904,2.2073,384819.2521,269713.7453
300719.SZ,20250926,2.5182,1.05,,3.9319,402695.8056,284518.2891
301308.SZ,20250926,10.7684,0.65,,8.769,5909948.2647,3869010.3618
688549.SH,20250926,8.8633,0.64,,4.7943,1453639.584,579889.896
600228.SH,20250926,3.1649,0.59,,5.8949,239782.1168,239221.3768
605598.SH,20250926,7.6911,2.18,73.5352,3.426,629561.2984,625525.2664
001201.SZ,20250926,2.1633,0.65,87.0883,1.2262,415547.8096,327453.0574
600376.SH,20250926,19.4903,0.58,,2.2864,1797956.9737,1797956.9737
600463.SH,20250926,9.0241,2.12,,3.7035,344700.0,344700.0
002182.SZ,20250926,3.5704,0.61,145.7651,2.8313,1515457.493,1322503.0404
001209.SZ,20250926,11.1541,2.23,91.6282,2.0771,265675.8944,194111.1647
601200.SH,20250926,1.1659,0.85,17.9651,0.9395,1072945.51,1072945.51
300866.SZ,20250926,1.953,0.47,27.64,7.467,6659077.4541,3750512.8696
000729.SZ,20250926,2.2862,1.14,24.6773,2.2754,3455529.2321,3076777.7737
000538.SZ,20250926,1.0192,0.82,19.6205,2.6407,10189923.7257,10124427.1851
002134.SZ,20250926,8.2651,2.39,259.451,10.367,516284.5128,515964.2376
300727.SZ,20250926,6.0792,0.56,61.4755,5.4811,690510.7682,621051.2306
000993.SZ,20250926,3.0512,0.95,24.101,1.7454,450624.2317,432711.6108
600315.SH,20250926,1.3882,0.88,,2.5269,1761232.0676,1761232.0676
301026.SZ,20250926,4.6126,1.42,36.9382,2.9693,457570.0964,322579.7054
000810.SZ,20250926,7.7743,0.77,126.8594,2.4449,1554853.1786,1512655.1444
301078.SZ,20250926,3.422,0.96,55.4868,3.1532,1357223.2589,1349524.6134
000066.SZ,20250926,7.4142,0.82,,4.9092,5506439.0432,5506081.8535
300930.SZ,20250926,5.5056,1.05,61.2589,3.4163,307000.0,144673.7531
605060.SH,20250926,5.6375,0.68,34.8542,2.9485,693145.552,693145.552
300903.SZ,20250926,7.0121,0.63,,2.9152,519197.4163,411063.1416
002042.SZ,20250926,7.251,0.71,,1.5896,911565.2063,911565.2063
002650.SZ,20250926,0.6789,0.91,,3.7911,718848.1248,718824.7248
300289.SZ,20250926,4.091,0.93,,2.4611,408008.6153,407367.3653
600566.SH,20250926,0.8073,0.68,11.9451,1.7348,2290603.7221,2278381.4221
601886.SH,20250926,1.0909,0.75,12.9303,1.151,831623.512,831623.512
001234.SZ,20250926,49.9051,1.18,66.999,3.5007,317080.9026,265226.409
600529.SH,20250926,0.7458,0.51,16.8639,1.7732,1414825.2889,1414825.2889
300729.SZ,20250926,4.786,0.54,16.8058,1.4131,512076.8587,480141.668
601388.SH,20250926,7.5358,0.93,,1.3723,620744.7777,620744.7777
600449.SH,20250926,2.661,1.18,21.3467,0.8627,628808.0702,628808.0702
920526.BJ,20250926,4.4952,0.62,138.6314,10.429,230733.0,146105.2859
301365.SZ,20250926,4.4245,0.82,67.7778,1.9657,344880.0,88806.6
600608.SH,20250926,0.8327,1.02,,33.8757,128255.962,124164.862
688102.SH,20250926,3.957,1.03,92.8063,10.4438,1234727.6765,1234727.6765
300081.SZ,20250926,3.2458,0.86,,2.6626,296954.5497,296909.5864
603051.SH,20250926,8.6416,0.84,1724.3506,2.1934,342623.4781,342623.4781
000966.SZ,20250926,0.9616,0.7,41.8159,1.12,1514250.232,1418762.4267
001298.SZ,20250926,6.667,0.36,224.1201,6.2066,988463.8667,513102.5572
688510.SH,20250926,5.2733,1.72,55.6737,5.7608,671019.633,671019.633
301528.SZ,20250926,5.5091,1.23,66.7843,2.3711,358401.0,184411.251
301167.SZ,20250926,3.526,1.12,87.5812,1.8664,175168.0,111228.3893
001286.SZ,20250926,1.0882,0.84,12.0072,1.3468,3363750.0,941850.0
600203.SH,20250926,6.6204,0.63,,4.731,788674.1491,788674.1491
000852.SZ,20250926,1.9345,0.79,102.3548,1.9212,606083.5148,599598.3903
002390.SZ,20250926,1.3204,0.56,70.9502,0.9917,664797.3389,659313.836
300708.SZ,20250926,7.592,1.73,41.9385,3.4062,836573.3933,632622.7003
301171.SZ,20250926,10.3793,0.87,62.511,4.2169,1521832.0436,1204174.5295
301662.SZ,20250926,12.7901,0.92,52.5783,7.0916,1040000.0,205092.225
001309.SZ,20250926,12.872,0.77,,16.5954,3909250.4666,2752924.0426
603416.SH,20250926,3.1713,0.76,43.2354,3.7053,990287.6652,879160.51
000550.SZ,20250926,4.1236,0.7,13.3214,1.7231,1830876.894,1099660.3624
300173.SZ,20250926,4.1619,0.6,78.0966,4.3837,428345.0819,428345.0819
002455.SZ,20250926,5.3807,0.57,71.6064,2.4369,434995.8041,380080.266
600512.SH,20250926,1.8472,0.6,153.3593,0.6188,387296.0679,385739.4546
601877.SH,20250926,3.676,1.28,13.8714,1.4576,6251350.7512,6251350.7512
600126.SH,20250926,19.9222,1.32,,1.7263,3329908.4358,3329908.4358
