rank,code,name,industry,score_100,score_raw,momentum_score,activity_score,stability_score,liquidity_score,ret_5,ret_10,ret_20,breakout_20,amount_ratio_5_20,turnover_5,turnover_20_used,vol_10,win_rate_20,max_drawdown_20,vol_base,accel,avg_amount_20_used,close,trade_date
2230,300401,花园生物,制造业-医药制造业,11.652794292508919,-0.32046281012712785,-0.2040161888662308,-0.8589475723178864,0.4158369327133921,-0.715245520292282,-0.021925,-0.044649999999999995,-0.0909,-0.044649999999999995,1.0056,1.82,1.82,0.0259,0.431825,-0.0259,0.0259,0.068975,128505819.28,13.15,2026-04-28
2231,601226,华电科工,科学研究和技术服务业-专业技术服务业,11.613158937772493,-0.3215121667101791,-0.5039149002439636,-0.24595134506064806,0.19524523192535256,-0.650049444883348,-0.04328333333333333,-0.04906666666666667,-0.023133333333333336,-0.04906666666666667,1.15,1.91,1.91,0.0429,0.48265,-0.0429,0.0429,-0.020149999999999998,201319757.0,8.98,2026-04-28
2232,300913,兆龙互连,制造业-电气机械和器材制造业,11.573523583036067,-0.322009755043584,-0.23129065811099805,-0.4527761235513691,-0.17478637015681683,-0.5422812458665274,-0.029091666666666665,-0.032883333333333334,-0.015166666666666667,-0.032883333333333334,1.1012,2.81,2.81,0.0496,0.488625,-0.0496,0.0496,-0.013924999999999998,382597768.03,52.88,2026-04-28
2233,002881,美格智能,制造业-计算机、通信和其他电子设备制造业,11.533888228299643,-0.3222596000457566,-0.37010967302202863,-0.4132692338437704,0.3069148407357509,-0.8818759368210183,-0.04783333333333334,-0.06546666666666667,-0.07053333333333334,-0.06546666666666667,1.1208,2.15,2.15,0.0373,0.4471,-0.0373,0.0373,0.022699999999999998,150651581.61,38.2,2026-04-28
2234,300986,志特新材,制造业-金属制品业,11.494252873563218,-0.3222939201425685,-0.7700564682773451,0.1992604171601851,-0.22478111894902686,-0.12753475554580931,-0.07827500000000001,-0.11304874999999999,-0.10808999999999999,-0.11304874999999999,1.1692,5.03,5.03,0.0495,0.4189325,-0.0495,0.0495,0.06562499999999999,472043708.03,22.64,2026-04-28
2235,300474,景嘉微,制造业-计算机、通信和其他电子设备制造业,11.454617518826794,-0.3223049694957902,-0.2782715035769824,-0.522558605681585,0.04220765739746701,-0.5919883208272959,-0.04185833333333333,-0.05921666666666667,-0.06943333333333333,-0.05921666666666667,1.098,2.58,2.58,0.0437,0.447925,-0.0437,0.0437,0.027575000000000002,660068581.29,62.12,2026-04-28
2236,002605,姚记科技,信息传输、软件和信息技术服务业-互联网和相关服务,11.414982164090368,-0.3224728829266731,-0.205027831278939,-0.7468855964473538,0.3933419505997693,-0.8827249428214192,-0.041716666666666666,-0.06593333333333333,-0.09686666666666666,-0.06593333333333333,1.07,1.89,1.89,0.031400000000000004,0.42735,-0.031400000000000004,0.031400000000000004,0.05514999999999999,123157161.99,19.11,2026-04-28
2237,301257,普蕊斯,科学研究和技术服务业-研究和试验发展,11.375346809353944,-0.3225988316685767,-0.10308311508016935,-0.8640412881073277,0.25732954732540614,-0.7788078204983884,0.00033333333333333305,-0.013133333333333334,-0.05386666666666667,-0.013133333333333334,1.0552,2.64,2.64,0.0417,0.4596,-0.0417,0.0417,0.0542,113943039.02,57.14,2026-04-28
2238,301155,海力风电,制造业-电气机械和器材制造业,11.335711454617519,-0.3233514101464163,-0.6950643046741649,0.2978194140917698,-0.41240282122791816,-0.2486665170273942,-0.07076666666666667,-0.09713333333333334,-0.10546666666666667,-0.09713333333333334,1.1776,4.87,4.87,0.0504,0.4209,-0.0504,0.0504,0.034699999999999995,369479110.51,60.66,2026-04-28
2239,000591,太阳能,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,11.296076099881095,-0.32344618939836867,-0.2686719661121667,-0.8218561121632821,0.3378805009868154,-0.5205965007336305,-0.011658333333333333,-0.019416666666666665,-0.031033333333333333,-0.019416666666666665,1.0156,2.38,2.38,0.030899999999999997,0.476725,-0.030899999999999997,0.030899999999999997,0.019375,477550694.23,5.16,2026-04-28
2240,300682,朗新科技,信息传输、软件和信息技术服务业-软件和信息技术服务业,11.256440745144669,-0.32351332228716934,-0.4551080796850632,-0.02875883660005335,-0.3172571430102816,-0.4721930177404958,-0.06555,-0.0898,-0.09700000000000002,-0.0898,1.1652,2.46,2.46,0.0483,0.42725,-0.0483,0.0483,0.03145000000000002,350637580.19,13.69,2026-04-28
