rank,code,name,industry,score_100,composite_score,rps_score,rps20,rps90,ret_20d_pct,ret_90d_pct,close_today,amount_today,trade_date
57,603083,剑桥科技,通信设备,81.33333333333333,101.48077246819462,97.29472595656671,95.84281282316442,98.26266804550156,36.29,142.48,254.87,5898289359.0,20260630
58,300903,科翔股份,元器件,81.0,101.47825071203538,98.9865563598759,97.99379524301965,99.64839710444674,52.21,261.69,101.31,1943948727.6000001,20260630
59,000988,华工科技,专用机械,80.66666666666666,101.46722919465277,96.51706308169597,94.02275077559462,98.1799379524302,29.03,139.94,184.61,19722408183.5,20260630
60,002080,中材科技,玻璃,80.33333333333333,101.43895048219137,97.36918304033091,96.5253360910031,97.93174767321614,40.54,129.18,90.0,5105033999.96,20260630
61,002484,江海股份,元器件,80.0,101.42510487276125,97.72078593588418,94.95346432264736,99.5656670113754,32.66,258.61,105.0,3883415888.54,20260630
62,002371,北方华创,半导体,79.66666666666666,101.39579890540666,96.72802481902792,97.74560496380559,96.0496380558428,49.95,82.76,884.56,11335700671.599998,20260630
63,300373,扬杰科技,半导体,79.33333333333333,101.39357948513573,97.29058945191314,98.46949327817994,96.50465356773526,58.42,91.02,157.23,5268813219.71,20260630
64,600869,远东股份,电气设备,79.0,101.38630968127613,98.08066184074457,97.18717683557394,98.67631851085832,45.65,164.58,33.47,3096443670.0,20260630
65,301013,利和兴,专用机械,78.66666666666666,101.38382915273804,98.70941054808688,98.26266804550156,99.00723888314374,56.05,191.8,72.25,2137835304.7699997,20260630
66,300346,南大光电,半导体,78.33333333333333,101.38319356024559,96.76525336091004,99.54498448810754,94.91209927611169,87.89,69.72,92.65,9887018682.970001,20260630
67,605111,新洁能,半导体,78.0,101.37009004799582,97.98138572905894,98.49017580144778,97.64219234746639,59.77,118.47,99.14,3177522569.0,20260630
68,300720,海川智能,电器仪表,77.66666666666666,101.33109902531034,98.39089968976216,97.31127197518097,99.11065149948294,46.36,197.83,96.2,2467382529.54,20260630
69,301392,汇成真空,专用机械,77.33333333333333,101.26367468658418,98.63908996897621,99.11065149948294,98.32471561530507,73.37,145.07,288.64,2100852194.8099997,20260630
70,603738,泰晶科技,元器件,77.0,101.22690308416963,98.48603929679422,96.64943123061013,99.71044467425025,41.63,268.4,60.05,2201819526.0,20260630
71,603678,火炬电子,元器件,76.66666666666667,101.2218939282021,97.65046535677354,98.22130299896588,97.2699069286453,55.78,107.19,83.0,3484697536.0,20260630
72,002138,顺络电子,元器件,76.33333333333333,101.15708067214766,97.23681489141676,98.30403309203723,96.5253360910031,57.2,91.06,73.1,4400968244.7,20260630
73,300570,太辰光,通信设备,76.0,101.1497868188424,96.98035160289555,98.90382626680456,95.69803516028955,66.98,79.11,246.71,5832248950.02,20260630
74,300706,阿石创,元器件,75.66666666666667,101.09183452607132,97.98552223371252,99.33815925542916,97.08376421923475,79.22,102.51,86.35,2640229732.44,20260630
75,600641,先导基电,半导体,75.33333333333333,101.07981667451136,97.87383660806618,98.03516028955532,97.76628748707343,53.01,124.82,39.86,2910219717.0,20260630
76,301188,力诺药包,玻璃,75.0,101.00919375951241,98.93278179937953,97.82833505687694,99.66907962771458,51.29,265.77,66.9,1512046537.32,20260630
77,300088,长信科技,元器件,74.66666666666667,101.00487860183395,96.86866597724924,98.77973112719752,95.59462254395036,62.01,77.91,11.6,5339353643.6,20260630
78,300179,四方达,矿物制品,74.33333333333333,100.95347806518774,97.26577042399173,94.93278179937953,98.8210961737332,32.51,180.2,59.43,3812197617.26,20260630
79,300260,新莱应材,机械基件,74.0,100.94810129626512,97.57600827300931,99.4622543950362,96.31851085832471,85.18,86.97,100.46,3158967094.6800003,20260630
80,002008,大族激光,专用机械,73.66666666666667,100.93749549072894,96.05377456049638,91.43743536711479,99.13133402275078,20.17,198.73,150.11,15702255974.9,20260630
81,000636,风华高科,元器件,73.33333333333333,100.90686680386301,97.50155118924508,94.56049638055842,99.4622543950362,31.23,242.37,72.24,3230760624.0,20260630
82,300671,富满微,半导体,73.0,100.87804182542165,97.43950361944158,99.64839710444674,95.96690796277146,91.89,82.16,86.16,3304636254.53,20260630
83,605358,立昂微,半导体,72.66666666666667,100.86922255013451,96.51706308169597,96.19441571871768,96.73216132368148,38.32,96.06,77.6,6930003525.0,20260630
84,002436,兴森科技,元器件,72.33333333333334,100.85622554257267,96.6535677352637,94.76732161323682,97.9110651499483,31.93,127.76,50.95,6041060944.92,20260630
85,603823,百合花,染料涂料,72.0,100.8497871624059,99.33815925542916,99.71044467425025,99.0899689762151,94.41,196.74,54.57,1113667864.0,20260630
86,603650,彤程新材,化工原料,71.66666666666667,100.79359047916803,96.74043433298863,99.66907962771458,94.78800413650465,92.53,68.21,97.98,4993683830.0,20260630
87,300323,华灿光电,半导体,71.33333333333334,100.72544809270717,97.17063081695966,95.78076525336091,98.09720785935883,35.91,136.11,20.4,3438030631.92,20260630
88,300806,斯迪克,塑料,71.0,100.71521677139627,97.65873836608066,98.1799379524302,97.31127197518097,55.36,108.96,112.0,2585905771.68,20260630
89,300620,光库科技,通信设备,70.66666666666667,100.6778989030017,96.59152016546018,95.69803516028955,97.18717683557394,35.73,104.76,378.2,5230759147.75,20260630
90,300843,胜蓝股份,元器件,70.33333333333334,100.6602912731433,98.9493278179938,99.42088934850052,98.63495346432265,82.22,163.4,156.25,1238784151.05,20260630
91,603929,亚翔集成,装修装饰,70.0,100.65815430811463,97.3857290589452,99.48293691830403,95.9875904860393,85.6,82.23,272.02,3073298666.0,20260630
92,300420,五洋自控,机械基件,69.66666666666667,100.6409142912113,98.59772492244053,99.5656670113754,97.95243019648397,88.45,130.73,9.46,1485599496.57,20260630
93,603002,宏昌电子,化工原料,69.33333333333334,100.57340062597271,97.81592554291623,96.71147880041366,98.55222337125129,41.84,159.06,24.17,2246957804.0,20260630
94,603989,艾华集团,元器件,69.0,100.54007152992267,98.89555325749743,98.8210961737332,98.94519131334023,62.89,188.14,52.5,1196300644.0,20260630
95,600498,烽火通信,通信设备,68.66666666666667,100.53784523838155,96.30196483971045,98.13857290589452,95.07755946225438,54.78,71.8,73.6,6226792649.0,20260630
96,002990,盛视科技,软件服务,68.33333333333333,100.50271243390696,98.89141675284384,98.84177869700103,98.92450879007238,62.99,187.17,79.0,1177177538.0,20260630
97,002463,沪电股份,元器件,68.0,100.48215359350253,95.68148914167529,93.0506721820062,97.43536711478801,24.72,113.44,152.8,13362035389.4,20260630
98,603663,三祥新材,小金属,67.66666666666666,100.43604737053668,97.89451913133402,98.73836608066185,97.33195449844881,61.77,109.3,96.3,1950366004.0,20260630
99,000823,超声电子,元器件,67.33333333333333,100.39840311680817,96.91003102378491,98.69700103412616,95.7187176835574,61.22,79.75,25.65,3381043387.08,20260630
100,600186,莲花控股,食品,67.0,100.38364362844294,97.49327817993796,96.77352637021717,97.97311271975181,42.28,132.17,14.0,2411267277.0,20260630
101,002407,多氟多,化工原料,66.66666666666666,100.36121580254718,95.80972078593588,97.24922440537746,94.85005170630816,45.93,68.78,50.23,9392668642.279999,20260630
102,300814,中富电路,元器件,66.33333333333333,100.35318672333173,97.8448810754912,96.6287487073423,98.65563598759049,41.57,163.7,204.5,1949223383.51,20260630
103,002297,博云新材,航空,66.0,100.24570287940577,97.72078593588418,97.62150982419855,97.78697001034125,47.46,125.43,28.99,1949224260.45,20260630
104,002971,和远气体,化工原料,65.66666666666666,100.12522202791797,97.73319544984489,99.358841778697,96.64943123061013,79.29,93.69,62.0,1842786818.6000001,20260630
105,603618,杭电股份,电气设备,65.33333333333333,100.12284800406778,97.28231644260599,94.16752843846949,99.358841778697,29.76,230.77,49.88,2368615872.0,20260630
106,603065,宿迁联盛,化工原料,65.0,100.04251598429228,98.69700103412616,100.0,97.82833505687694,159.41,125.86,20.26,1015244769.0,20260630
107,002119,康强电子,半导体,64.66666666666666,100.0140998464271,96.42605997931747,99.50361944157187,94.37435367114789,86.11,63.41,39.92,3526363787.43,20260630
108,300661,圣邦股份,半导体,64.33333333333333,99.99243816715739,96.6535677352637,95.76008273009307,97.24922440537746,35.79,106.95,143.48,3155076728.27,20260630
109,600909,华安证券,证券,64.0,99.98224807346762,96.07859358841779,98.07652533609101,94.74663908996898,53.67,67.82,11.11,4317276591.0,20260630
110,603283,赛腾股份,专用机械,63.66666666666667,99.92283563578144,96.40124095139606,98.94519131334023,94.70527404343329,68.01,67.28,80.98,3407903425.0,20260630
111,001389,广合科技,元器件,63.33333333333333,99.91804636045998,96.56256463288523,94.29162357807652,98.07652533609101,30.14,135.79,237.25,3158820038.75,20260630
112,300042,朗科科技,IT设备,63.0,99.88404044429632,96.76111685625645,95.09824198552224,97.86970010341261,33.23,126.16,76.17,2654152128.29,20260630
113,002167,东方锆业,小金属,62.66666666666667,99.7771440939715,96.488107549121,99.00723888314374,94.80868665977249,69.64,68.47,22.07,3077236009.7799997,20260630
114,603005,晶方科技,半导体,62.33333333333333,99.77594505732358,95.73940020682524,96.85625646328853,94.99482936918304,42.78,71.02,53.87,4993293784.0,20260630
115,603061,金海通,半导体,62.0,99.62069901431629,97.19544984488107,99.19338159255429,95.86349534643226,74.3,81.25,502.22,1892531850.0,20260630
116,603078,江化微,半导体,61.66666666666667,99.60500159757032,96.96380558428129,97.12512926577043,96.85625646328853,45.35,98.87,49.42,2112264717.0000002,20260630
117,605589,圣泉集团,化工原料,61.33333333333333,99.5875176505753,96.13236814891417,94.08479834539814,97.49741468459152,29.21,114.62,63.57,3349658138.0,20260630
118,600549,厦门钨业,小金属,61.0,99.57022953478064,95.25129265770423,98.67631851085832,92.96794208893485,61.21,51.28,85.2,6689020736.0,20260630
119,003031,中瓷电子,元器件,60.66666666666667,99.3813039609437,96.82316442605998,94.72595656670114,98.22130299896588,31.89,141.14,180.3,1998639461.96,20260630
120,603588,高能环境,环境保护,60.333333333333336,99.37618830028826,97.06721820062049,98.15925542916236,96.33919338159257,55.21,87.32,19.2,1731655857.0,20260630
121,301045,天禄科技,元器件,60.0,99.35034888874382,98.35367114788004,99.17269906928645,97.8076525336091,74.19,125.86,89.08,765950319.86,20260630
122,300857,协创数据,IT设备,59.66666666666667,99.33470987779445,94.94932781799379,96.89762150982419,93.65046535677352,43.75,57.81,339.9,6951082536.71,20260630
123,300868,杰美特,元器件,59.333333333333336,99.2332212171081,98.56876938986557,96.73216132368148,99.79317476732162,41.98,341.9,146.71,546722102.03,20260630
124,300037,新宙邦,化工原料,59.0,99.19611635808937,95.34229576008272,94.49844881075491,95.90486039296793,30.85,81.63,92.85,4188258699.63,20260630
125,301176,逸豪新材,元器件,58.666666666666664,99.13322705768776,98.65149948293693,98.36608066184075,98.84177869700103,57.44,181.69,68.0,473649827.82,20260630
126,300566,激智科技,元器件,58.333333333333336,99.1107339547252,96.98448810754913,98.57290589451914,95.92554291623578,60.65,81.93,36.95,1584931140.67,20260630
127,300835,龙磁科技,矿物制品,57.99999999999999,99.09991513981316,97.62150982419854,95.32574974146846,99.15201654601861,34.36,201.05,229.49,1098727781.06,20260630
128,301099,雅创电子,元器件,57.666666666666664,99.04272212239793,97.38159255429161,97.64219234746639,97.20785935884177,47.51,105.11,95.5,1196538991.0800002,20260630
129,600172,黄河旋风,矿物制品,57.333333333333336,98.97104790306012,95.54912099276112,93.02998965873837,97.22854188210962,24.72,105.38,16.8,3288651532.0,20260630
130,603688,石英股份,矿物制品,56.99999999999999,98.94368306953382,96.16959669079628,95.38779731127197,96.69079627714581,34.48,94.7,82.61,2298539929.0,20260630
131,301536,星宸科技,半导体,56.666666666666664,98.92650832969728,97.36504653567735,98.59358841778698,96.54601861427095,60.89,91.36,128.71,1149610111.1399999,20260630
132,605006,山东玻纤,玻璃,56.333333333333336,98.83831214119085,96.56256463288521,93.8572905894519,98.36608066184075,27.9,146.67,21.09,1700386732.0,20260630
133,002655,共达电声,元器件,56.00000000000001,98.79688181758839,96.5377456049638,91.93381592554292,99.60703205791106,21.63,259.38,46.0,1699762193.0800002,20260630
134,600226,亨通股份,供气供热,55.666666666666664,98.7495937361501,95.89245087900724,98.38676318510858,94.22957600827301,57.73,61.72,9.59,2377833696.0,20260630
135,300236,上海新阳,半导体,55.333333333333336,98.74656694163198,95.60703205791106,97.33195449844881,94.45708376421923,46.42,64.89,131.5,2679795637.01,20260630
136,301071,力量钻石,矿物制品,55.00000000000001,98.72838899634792,96.00413650465356,93.60910031023785,97.60082730093072,27.17,117.9,92.5,2200957827.77,20260630
137,301200,大族数控,专用机械,54.666666666666664,98.68822298646016,96.71147880041364,94.47776628748707,98.20062047569803,30.77,141.04,360.65,1451817645.49,20260630
138,002916,深南电路,元器件,54.333333333333336,98.64739733463429,94.42812823164425,91.62357807652533,96.29782833505688,20.5,86.1,457.9,6145301809.9,20260630
139,300522,世名科技,染料涂料,54.0,98.5802409754455,97.76628748707341,99.68976215098242,96.48397104446742,94.09,90.84,23.97,621965699.08,20260630
140,301568,思泰克,专用机械,53.666666666666664,98.49666228050587,97.8986556359876,97.97311271975181,97.84901758014477,51.84,125.91,111.6,518882618.59999996,20260630
141,301297,富乐德,半导体,53.333333333333336,98.45733800121621,95.23474663908996,98.01447776628748,93.38159255429163,52.83,55.23,61.24,2998246383.44,20260630
142,603324,盛剑科技,环境保护,53.0,98.4078133213315,97.26163391933815,98.2419855222337,96.60806618407446,55.95,93.0,51.26,859457718.0,20260630
143,301123,奕东电子,元器件,52.666666666666664,98.37345697038826,96.49638055842813,95.80144777662875,96.95966907962772,36.02,100.33,120.72,1339467940.44,20260630
144,003036,泰坦股份,纺织机械,52.33333333333333,98.34439493312537,97.54705274043434,93.9607032057911,99.93795243019649,28.82,422.54,92.49,609139505.4,20260630
145,301307,美利信,通信设备,52.0,98.34199685982954,96.04963805584282,94.0641158221303,97.3733195449845,29.19,110.6,75.29,1705049611.94,20260630
146,600110,诺德股份,电气设备,51.66666666666667,98.25340900892235,95.3464322647363,92.05791106514994,97.5387797311272,21.99,116.5,15.09,2431489626.0,20260630
147,600888,新疆众和,铝,51.33333333333333,98.23089872778432,95.78903826266804,95.36711478800413,96.07032057911064,34.43,82.85,15.89,1895557661.0,20260630
148,003043,华亚智能,半导体,51.0,98.20000893265124,97.30299896587384,98.65563598759049,96.40124095139608,61.09,88.92,99.39,695230120.19,20260630
149,600500,中化国际,塑料,50.66666666666667,98.12761666557871,95.6525336091003,96.0496380558428,95.38779731127197,37.37,73.61,7.83,1934180983.0,20260630
150,300283,温州宏丰,电气设备,50.33333333333333,98.12015103051874,96.49224405377456,93.65046535677352,98.38676318510858,27.32,147.89,20.55,1195727361.33,20260630
151,002842,翔鹭钨业,小金属,50.0,98.09110617143132,95.43329886246121,97.76628748707343,93.87797311271974,50.16,59.6,48.2,2121002500.4599998,20260630
152,603124,江南新材,铜,49.666666666666664,98.07327866092686,96.794208893485,96.60806618407446,96.91830403309204,41.44,99.76,186.98,957253583.0,20260630
153,002654,万润科技,互联网,49.333333333333336,98.06687463711104,95.25956566701137,97.45604963805584,93.7952430196484,46.93,59.0,22.26,2339237383.57,20260630
154,301611,珂玛科技,半导体,49.0,98.05235220756734,94.73009307135472,99.79317476732162,91.35470527404344,101.44,41.23,180.07,3148279189.29,20260630
155,003018,金富科技,塑料,48.66666666666667,98.04774158527074,96.95139607032057,93.27817993795243,99.40020682523267,25.69,237.45,76.23,841003175.0,20260630
156,300726,宏达电子,元器件,48.333333333333336,98.00254236996982,95.77662874870735,96.54601861427095,95.26370217166495,40.58,72.66,84.57,1626175438.8600001,20260630
157,300548,长芯博创,通信设备,48.0,97.98457743406158,94.01447776628748,93.50568769389865,94.35367114788004,26.74,63.34,278.0,4792736004.2300005,20260630
158,002674,兴业科技,纺织,47.66666666666667,97.969367877499,97.86970010341261,99.60703205791106,96.71147880041366,90.58,95.01,28.53,195007248.8,20260630
159,002821,凯莱英,生物制药,47.333333333333336,97.96929572916201,94.7300930713547,96.50465356773526,93.54705274043434,40.39,57.16,162.0,3041658996.9700003,20260630
160,002631,德尔未来,家居用品,47.0,97.92136174832598,97.40641158221302,98.63495346432265,96.58738366080661,61.06,92.01,11.29,488571146.97,20260630
161,002787,华源控股,广告包装,46.666666666666664,97.83658401673841,96.79007238883143,94.27094105480869,98.46949327817994,30.0,153.54,32.2,817319178.0799999,20260630
162,300433,蓝思科技,元器件,46.33333333333333,97.79619125493441,93.3443640124095,93.87797311271974,92.98862461220268,28.28,51.75,53.66,8751338072.119999,20260630
163,002156,通富微电,半导体,46.0,97.76407837370778,93.06308169596691,92.55429162357808,93.40227507755947,23.59,55.34,75.87,11510885990.800001,20260630
